run_id,condition,jspsych_start_time,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,user_agent,inner_width,inner_height,load_time,success,response_type,key_press,avg_frame_time,center_x,center_y,webgazer_data,webgazer_targets,rastocCategory,trialId,cueWasShownAtLeft,experimentName,starTs,finishTs,intraTrialBlankDuration,fixationDuration,interTrialBlankDuration,cueDuration,cueXDistance,events,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
55,1,2022-03-03T01:02:33.401Z,events-tracking-start,0,2,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",html-button-response,1,21735,0.0-1.0,21730,"
    <div style=""text-align: left;"">
      <p>
        Bienvenidx a esta primera instancia de experimentación, gracias por
        participar c:
      </p>
      <p>
        En este experimento vas a realizar la tarea de antisacadas. Va a tomar
        aproximadamente 10 minutos. Es entonces importante que <b>te sientes
        cómodx</b>. Si estás con una notebook sentate tal que puedas estar en
        la misma posición durante unos minutos. 
      </p>
    </div>
    ",0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",1280,601,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",survey-html-form,2,193924,0.0-2.0,172185,"""","{""edad"":""26"",""anteojos"":""si"",""hardware"":""16GB. Laptop con placa integrada. Es una lenovo thinkpad x1 carbon.""}","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",webgazer-init-camera,3,243716,0.0-3.0,"""","""","""","""","""","""",25621,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",fullscreen,4,254321,0.0-4.0,"""","""","""","""","""","""","""",true,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",html-button-response,5,281377,0.0-5.0,27050,"
    <div style=""text-align: left"">
      <h3>Calibración</h3>
      <p>
        El sistema en cuestión requiere ser inicialmente calibrado para
        poder estimar la mirada. Además, cada vez que detectemos demasiado
        movimiento procederemos a recalibrar. Tené en cuenta que <b>rotar
        la cabeza también cuenta como movimiento</b>. Idealmente durante
        los experimentos tendrías que estar <b>moviendo únicamente tus
        ojos</b>.
      </p>
      <p>
        La calibración consiste en fijar la mirada en <span style=""color:
        blue; font-weight: bold;"">círculos azules</span> que van a aparecer
        en la pantalla.
        <br>
        Cada vez que aparezca uno tenés que
      </p>
      <ol>
        <li>fijar la mirada en él</li>
        <li>presionar la <b>barra de espacio</b></li>
      </ol>
      <p>
        En el próximo paso realizarás la calibración inicial.
        <br>
        Si más adelante detectamos demasiado movimiento entoces te vamos a
        avisar así recalibramos el sistema.
      </p>
    </div>
    ",0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",html-button-response,6,287253,0.0-6.0-0.0,5875,"
      <h3>
        Calibración lado a lado
      </h3>
      <p>
        En la próxima pantalla van a ir apareciendo puntos azules. Cada vez que
        aparezca uno, fijá la mirada en él y presiona la barra de espacio.
      </p>
      ",0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",psychophysics,7,288366,0.0-6.0-1.0-0.0,676,""""," ","""","""","""","""","""",key," ",18.00998387096784,640,356,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",psychophysics,8,289448,0.0-6.0-1.1-0.1,680,""""," ","""","""","""","""","""",key," ",18.710192982456647,640,356,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
55,1,"""",psychophysics,9,290686,0.0-6.0-1.2-0.2,836,""""," ","""","""","""","""","""",key," ",18.159731343283436,640,356,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","2022-03-03 01:02:31",50.98.120.187,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62",WebKit,Edge,98.0.1108.62,Windows,10.0,cf8443dbe4c9d72e45e6cc2a72c40e11
